Index    name         key              s           l     floor.x         floor.y         floor.z         floor.theta     floor.phi       floor.psi       spin.x          spin.y          spin.z
    115  L274         Drift               12.909   0.043   -0.0000000000    0.0000000000   12.8972633503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    116  SCA21        Drift               12.909   0.000   -0.0000000000    0.0000000000   12.8972633503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    117  L276         Drift               12.951   0.043   -0.0000000000    0.0000000000   12.9397633503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    118  L277         Drift               13.008   0.057   -0.0000000000    0.0000000000   12.9962735503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    119  AKA22        Lcavity             13.043   0.035   -0.0000000000    0.0000000000   13.0312633503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    120  PACA22       Marker              13.043   0.000   -0.0000000000    0.0000000000   13.0312633503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    121  ACA22        Lcavity             13.603   0.560   -0.0000000000    0.0000000000   13.5911001503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    122  SXA22        Sbend               13.603   0.000   -0.0000000000    0.0000000000   13.5911001503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    123  SYA22        Sbend               13.603   0.000   -0.0000000000    0.0000000000   13.5911001503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    124  ACA222       Lcavity             14.932   1.330   -0.0000000000    0.0000000000   14.9207125503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    125  PACA22       Marker              14.932   0.000   -0.0000000000    0.0000000000   14.9207125503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    126  AKA22        Lcavity             14.967   0.035   -0.0000000000    0.0000000000   14.9557023503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    127  L284         Drift               15.024   0.057   -0.0000000000    0.0000000000   15.0122125503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    128  L285         Drift               15.066   0.043   -0.0000000000    0.0000000000   15.0547125503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    129  LSPA22       Drift               15.066   0.000   -0.0000000000    0.0000000000   15.0547125503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    130  L287         Drift               15.123   0.057   -0.0000000000    0.0000000000   15.1117125503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    131  LQDA22       Drift               15.198   0.075   -0.0000000000    0.0000000000   15.1867125503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    132  L289         Drift               15.285   0.087   -0.0000000000    0.0000000000   15.2737125503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    133  LQFA22       Drift               15.406   0.121   -0.0000000000    0.0000000000   15.3947125503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    134  L291         Drift               15.493   0.087   -0.0000000000    0.0000000000   15.4817125503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    135  LQDA22       Drift               15.568   0.075   -0.0000000000    0.0000000000   15.5567125503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    136  L293         Drift               15.668   0.100   -0.0000000000    0.0000000000   15.6564225503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    137  L294         Drift               15.726   0.058   -0.0000000000    0.0000000000   15.7139225503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    138  WMA22        Drift               15.726   0.000   -0.0000000000    0.0000000000   15.7139225503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
